weekday,produced,defective
Tuesday,77,9
Wednesday,73,6
Thursday,77,6
Friday,54,5
Monday,72,7
Tuesday,93,8
Wednesday,67,6
Thursday,62,7
Friday,58,6
Monday,81,8
Tuesday,73,9
Wednesday,87,6
Thursday,80,6
Friday,60,5
Monday,64,7
Tuesday,88,9
Wednesday,81,7
Thursday,74,6
Friday,56,6
Monday,67,8
Tuesday,74,10
Wednesday,74,7
Thursday,61,5
Friday,68,5
Monday,69,9
Tuesday,74,10
Wednesday,76,6
Thursday,63,5
Friday,59,4
Monday,75,8
Tuesday,91,8
Wednesday,75,7
Thursday,69,7
Friday,54,4
Monday,63,8
Tuesday,83,10
Wednesday,82,7
Thursday,76,5
Friday,53,4
Monday,73,8
Tuesday,89,9
Wednesday,84,8
Thursday,78,7
Friday,73,6
Monday,68,8
Tuesday,90,8
Wednesday,84,7
Thursday,70,6
Friday,58,6
Monday,68,8
Tuesday,78,8
Wednesday,83,8
Thursday,76,7
Friday,55,6
Monday,65,8
Tuesday,84,9
Wednesday,86,6
Thursday,69,7
Friday,70,4
Monday,79,7
Tuesday,81,10
Wednesday,70,8
Thursday,62,5
Friday,57,5
Monday,80,7
Tuesday,76,10
Wednesday,67,7
Thursday,62,6
Friday,55,4
Monday,62,9
Tuesday,81,8
Wednesday,84,8
Thursday,77,5
Friday,70,4
Monday,69,9
Tuesday,76,8
Wednesday,72,8
Thursday,74,6
Friday,74,5
Monday,65,7
Tuesday,93,9
Wednesday,80,7
Thursday,69,5
Friday,74,6
Monday,74,8
Tuesday,83,9
Wednesday,67,6
Thursday,68,6
Friday,73,4
Monday,81,7
Tuesday,85,9
Wednesday,81,6
Thursday,80,5
Friday,67,6
Monday,60,8
Tuesday,85,8
Wednesday,80,8
Thursday,74,7
Friday,73,6
Monday,78,7
Tuesday,88,9
Wednesday,80,6
Thursday,71,7
Friday,71,6
Monday,77,7
Tuesday,73,8
Wednesday,81,6
Thursday,63,7
Friday,75,5
Monday,73,8
Tuesday,95,10
Wednesday,67,8
Thursday,66,5
Friday,64,5
Monday,59,9
Tuesday,91,10
Wednesday,85,8
Thursday,73,6
Friday,72,5
Monday,71,9
Tuesday,84,9
Wednesday,77,7
Thursday,73,7
Friday,73,6
Monday,67,7
Tuesday,79,8
Wednesday,72,7
Thursday,80,5
Friday,62,6
Monday,79,8
Tuesday,85,10
Wednesday,87,6
Thursday,64,7
Friday,58,6
Monday,71,8
Tuesday,91,10
Wednesday,81,8
Thursday,71,6
Friday,60,6
Monday,59,8
Tuesday,92,9
Wednesday,86,7
Thursday,81,5
Friday,61,5
Monday,63,7
Tuesday,87,8
Wednesday,78,8
Thursday,82,6
Friday,67,5
Monday,78,9
Tuesday,81,8
Wednesday,69,7
Thursday,63,6
Friday,66,4
Monday,75,9
Tuesday,91,8
Wednesday,72,6
Thursday,79,7
Friday,58,4
Monday,65,8
Tuesday,83,10
Wednesday,72,7
Thursday,64,6
Friday,69,5
Monday,72,8
Tuesday,92,9
Wednesday,71,7
Thursday,71,7
Friday,56,6
Monday,67,9
Tuesday,86,10
Wednesday,80,8
Thursday,80,7
Friday,69,6
Monday,67,9
Tuesday,79,8
Wednesday,71,7
Thursday,83,6
Friday,62,6
Monday,60,8
Tuesday,84,8
Wednesday,86,6
Thursday,70,7
Friday,65,4
Monday,59,7
Tuesday,82,9
Wednesday,68,8
Thursday,83,7
Friday,73,4
Monday,70,9
Tuesday,90,9
Wednesday,74,7
Thursday,77,6
Friday,66,6
Monday,63,8
Tuesday,81,10
Wednesday,75,6
Thursday,68,5
Friday,74,6
Monday,67,7
Tuesday,93,10
Wednesday,80,6
Thursday,62,6
Friday,59,5
Monday,79,8
Tuesday,86,9
Wednesday,79,7
Thursday,81,7
Friday,59,6
Monday,72,8
Tuesday,94,10
Wednesday,74,6
Thursday,64,6
Friday,73,4
Monday,60,8
Tuesday,91,8
Wednesday,68,7
Thursday,69,7
Friday,74,4
Monday,76,7
Tuesday,85,10
Wednesday,87,6
Thursday,83,7
Friday,62,4
Monday,75,7
Tuesday,93,9
Wednesday,72,6
Thursday,65,5
Friday,57,6
Monday,60,7
Tuesday,92,10
Wednesday,73,8
Thursday,74,7
Friday,53,5
Monday,74,9
Tuesday,73,9
Wednesday,81,8
Thursday,82,7
Friday,68,5
Monday,73,7
Tuesday,85,10
Wednesday,73,7
Thursday,71,7
Friday,74,6
Monday,68,8
Tuesday,92,8
Wednesday,86,6
Thursday,64,5
Friday,72,6
Monday,61,7
Tuesday,94,10
Wednesday,83,7
Thursday,69,5
Friday,66,4
Monday,78,8
Tuesday,88,9
Wednesday,73,7
Thursday,61,6
Friday,73,6
Monday,78,8
Tuesday,84,10
Wednesday,75,6
Thursday,76,6
Friday,74,5
Monday,75,9
Tuesday,80,9
Wednesday,77,6
Thursday,67,5
Friday,67,4
Monday,67,9
Tuesday,80,9
Wednesday,76,7
Thursday,82,7
Friday,70,4
Monday,75,9
Tuesday,77,8
Wednesday,69,7
Thursday,68,6
Friday,69,4
Monday,65,7
Tuesday,89,10
Wednesday,87,8
Thursday,81,7
Friday,67,4
Monday,69,7
Tuesday,82,8
Wednesday,77,8
Thursday,68,5
Friday,72,6
Monday,66,8
Tuesday,81,10
Wednesday,79,6
Thursday,72,6
Friday,75,6
Monday,59,9
Tuesday,79,8
Wednesday,79,6
Thursday,82,6
Friday,70,5
Monday,77,8
Tuesday,91,9
Wednesday,68,8
Thursday,72,7
Friday,64,5
Monday,76,9
Tuesday,80,8
Wednesday,80,7
Thursday,71,7
Friday,57,4
Monday,67,7
Tuesday,80,10
Wednesday,65,7
Thursday,73,7
Friday,75,6
Monday,59,8
Tuesday,87,10
Wednesday,68,7
Thursday,63,5
Friday,62,5
Monday,61,8
Tuesday,82,9
Wednesday,73,8
Thursday,82,6
Friday,71,6
Monday,77,7
Tuesday,95,9
Wednesday,79,7
Thursday,66,6
Friday,57,6
Monday,80,8
Tuesday,94,10
Wednesday,73,8
Thursday,67,6
Friday,61,6
Monday,70,9
Tuesday,82,10
Wednesday,80,7
Thursday,80,5
Friday,62,6
Monday,79,7
Tuesday,76,10
Wednesday,73,7
Thursday,69,5
Friday,70,6
Monday,62,8
Tuesday,73,10
Wednesday,79,7
Thursday,78,6
Friday,55,5
